Point:60	Drone:3	minCost:1316.54
cost 95.159 sec
The 1-th drone path:center	57	15	10	41	55	39	36	47	48	18	43	44	20	4	11	28	56	23	21	3	center
The 2-th drone path:center	7	12	52	30	1	24	37	50	35	17	58	59	29	27	0	16	8	51	26	49	center
The 3-th drone path:center	32	42	14	13	5	46	25	54	31	45	19	2	40	38	6	53	9	34	22	33	center
The calculate state:
times:556,currentCost:6543.27
times:557,currentCost:6119.06
times:558,currentCost:6276.04
times:559,currentCost:5185.43
times:560,currentCost:6705.46
times:561,currentCost:5947.74
times:562,currentCost:6137.7
times:563,currentCost:6740.1
times:564,currentCost:5729.92
times:565,currentCost:5360.72
times:566,currentCost:6339.73
times:567,currentCost:6383.72
times:568,currentCost:6156.99
times:569,currentCost:6049.48
times:570,currentCost:6504.07
times:571,currentCost:6056.73
times:572,currentCost:6344.08
times:573,currentCost:6268.4
times:574,currentCost:5893.35
times:575,currentCost:6089.56
times:576,currentCost:6478.51
times:577,currentCost:6198.34
times:578,currentCost:6149.63
times:579,currentCost:5666.21
times:580,currentCost:6178.85
times:581,currentCost:5744.82
times:582,currentCost:5669.18
times:583,currentCost:6099.21
times:584,currentCost:5936.6
times:585,currentCost:5582.19
times:586,currentCost:6328.64
times:587,currentCost:6019.24
times:588,currentCost:5905.64
times:589,currentCost:5662.95
times:590,currentCost:6371.85
times:591,currentCost:6369.85
times:592,currentCost:5086.93
times:593,currentCost:6098.04
times:594,currentCost:6541.16
times:595,currentCost:6050.03
times:596,currentCost:6079.08
times:597,currentCost:5895.05
times:598,currentCost:6646.69
times:599,currentCost:5849.49
times:600,currentCost:5853.96
times:601,currentCost:6110.3
times:602,currentCost:6228.74
times:603,currentCost:6137.34
times:604,currentCost:6422.58
times:605,currentCost:5934.73
times:606,currentCost:5820.89
times:607,currentCost:6362.05
times:608,currentCost:6408.18
times:609,currentCost:6389.79
times:610,currentCost:5628.05
times:611,currentCost:6385.12
times:612,currentCost:6357.74
times:613,currentCost:5770.72
times:614,currentCost:6617.35
times:615,currentCost:6178.75
times:616,currentCost:6411.52
times:617,currentCost:5959.94
times:618,currentCost:6122.02
times:619,currentCost:6462.98
times:620,currentCost:5827.01
times:621,currentCost:6084.67
times:622,currentCost:5712.93
times:623,currentCost:6319.5
times:624,currentCost:6540.08
times:625,currentCost:6413.52
times:626,currentCost:6111.26
times:627,currentCost:5932.79
times:628,currentCost:6794.5
times:629,currentCost:6089
times:630,currentCost:5587.69
times:631,currentCost:6541.81
times:632,currentCost:6380.49
times:633,currentCost:6045.48
times:634,currentCost:6243.75
times:635,currentCost:6717.93
times:636,currentCost:5783.54
times:637,currentCost:5852.87
times:638,currentCost:5546.88
times:639,currentCost:6130.23
times:640,currentCost:6238.7
times:641,currentCost:6468.94
times:642,currentCost:6377.42
times:643,currentCost:6405.51
